rfq_id,actual_requirement_count,predicted_requirement_count,true_positives,false_positives,false_negatives,exact_match,devCategory_predicted,devCategory_confidence,devCategory_evidence,devCategory_method,characteristic_predicted,characteristic_confidence,characteristic_evidence,characteristic_method,housing_predicted,housing_confidence,housing_evidence,housing_method,powerSupply_predicted,powerSupply_confidence,powerSupply_evidence,powerSupply_method,numberOfChannels_predicted,numberOfChannels_confidence,numberOfChannels_evidence,numberOfChannels_method,explosionApproval_predicted,explosionApproval_confidence,explosionApproval_evidence,explosionApproval_method,protectionArea_predicted,protectionArea_confidence,protectionArea_evidence,protectionArea_method,certification_predicted,certification_confidence,certification_evidence,certification_method,dataInterface_predicted,dataInterface_confidence,dataInterface_evidence,dataInterface_method,stromSchaltbar_predicted,stromSchaltbar_confidence,stromSchaltbar_evidence,stromSchaltbar_method,stromEingaenge_predicted,stromEingaenge_confidence,stromEingaenge_evidence,stromEingaenge_method,temperaturEingaenge_predicted,temperaturEingaenge_confidence,temperaturEingaenge_evidence,temperaturEingaenge_method,binaerDigitalOpenColl_MN_predicted,binaerDigitalOpenColl_MN_confidence,binaerDigitalOpenColl_MN_evidence,binaerDigitalOpenColl_MN_method,binaerOpenColl_MP_predicted,binaerOpenColl_MP_confidence,binaerOpenColl_MP_evidence,binaerOpenColl_MP_method,waveInjector_predicted,waveInjector_confidence,waveInjector_evidence,waveInjector_method,dev_advMeterVerification_predicted,dev_advMeterVerification_confidence,dev_advMeterVerification_evidence,dev_advMeterVerification_method,dynamicGasMaster_predicted,dynamicGasMaster_confidence,dynamicGasMaster_evidence,dynamicGasMaster_method,customUserFluid_predicted,customUserFluid_confidence,customUserFluid_evidence,customUserFluid_method,steamApplication_predicted,steamApplication_confidence,steamApplication_evidence,steamApplication_method
RFQ731-000001,14,10,9,1,5,False,G,0.98,he following technical and application requirements: the equipment is required to support gas metering application. the equipment is required to support general-purpose configuration. the inst,EXPLICIT_GAS,GP,0.98,ent is required to support gas metering application. the equipment is required to support general-purpose configuration. the installation environment requires a robust industrial enclosure. we require the alte,EXPLICIT_GP,NOVALUE,0.0,,,4,0.99,tion. the installation environment requires a robust industrial enclosure. we require the alternative electrical supply option. we require a single measurement channel. we require the installation does not req,EXPLICIT_ALTERNATIVE_POWER,1,0.99,t industrial enclosure. we require the alternative electrical supply option. we require a single measurement channel. we require the installation does not require hazardous-area approval. please consider st,EXPLICIT_CHANNEL,N,0.99,rical supply option. we require a single measurement channel. we require the installation does not require hazardous-area approval. please consider standard installation conditions as a preferred option. the equipment is,EXPLICIT_NON_HAZARDOUS,NOVALUE,0.0,,,NOVALUE,0.0,,,HS,0.96,ired to support appropriate measurement certification. the proposed solution must provide high-speed communication. the equipment is required to support a switchable current-output capability. we would pr,SEMANTIC_HIGH_SPEED,CS1,0.9,"ed solution must provide high-speed communication. the equipment is required to support a switchable current-output capability. we would prefer temperature measurement capability. if possible, please provi",SEMANTIC_SWITCHABLE_CURRENT,NOVALUE,0.0,,,TT1,0.98,"equipment is required to support a switchable current-output capability. we would prefer temperature measurement capability. if possible, please provide digital signal input capability. we would prefer advanced lo",EXPLICIT_TEMPERATURE,NOVALUE,0.0,,,MP1,0.8,"pability. we would prefer temperature measurement capability. if possible, please provide digital signal input capability. we would prefer advanced low-temperature measurement capability. the proposed solution m",SEMANTIC_MP,NOVALUE,0.0,,,NOVALUE,0.0,,,1,0.9,"refer advanced low-temperature measurement capability. the proposed solution must provide enhanced gas measurement capability. please include pricing, expected delivery lead time, validity of the quotatio",SEMANTIC_DGM,NOVALUE,0.0,,,NOVALUE,0.0,,
RFQ731-000002,17,7,6,1,11,False,G,0.98,the following technical and application requirements: the proposed solution must provide gas measurement. the equipment is required to support standard process configuration. the installation en,EXPLICIT_GAS,TE,0.96,"quired to support a dedicated current-input channel. the equipment is required to support temperature measurement capability. where available, we would like a digital open-collector input. we would prefe",EXPLICIT_TE,NOVALUE,0.0,,,4,0.99,environment requires a robust industrial enclosure. the proposed solution must provide an alternative power supply. we require one measurement channel. the equipment will be installed in an operating area,EXPLICIT_ALTERNATIVE_POWER,1,0.99,ial enclosure. the proposed solution must provide an alternative power supply. we require one measurement channel. the equipment will be installed in an operating area where the applicable hazardous-area,EXPLICIT_CHANNEL,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,HS,0.96,"n must provide the required measurement certification. the proposed solution must provide high-speed communication. where available, we would like switchable current-output functionality. the equipment is",SEMANTIC_HIGH_SPEED,CS1,0.9,"e proposed solution must provide high-speed communication. where available, we would like switchable current-output functionality. the equipment is required to support a dedicated current-input channel. th",SEMANTIC_SWITCHABLE_CURRENT,NOVALUE,0.0,,,TT1,0.98,"quired to support a dedicated current-input channel. the equipment is required to support temperature measurement capability. where available, we would like a digital open-collector input. we would prefer enhanced",EXPLICIT_TEMPERATURE,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,
RFQ731-000003,13,7,5,2,8,False,F,0.96,he following technical and application requirements: the equipment is required to support flow measurement for liquid service. we require standard process configuration. the installation environme,EXPLICIT_FLOW,TE,0.96,". the proposed solution must provide the standard communication interface. we require one temperature measurement input. the application requires digital signal input capability. where available, we woul",EXPLICIT_TE,NOVALUE,0.0,,,1,0.99,ion. the installation environment requires a robust industrial enclosure. we would prefer standard power supply. the application requires a single measurement channel. the equipment will be installed i,EXPLICIT_STANDARD_POWER,1,0.99,t industrial enclosure. we would prefer standard power supply. the application requires a single measurement channel. the equipment will be installed in an operating area where the applicable hazardous-area,EXPLICIT_CHANNEL,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NN,0.96,e would like standard certification documentation. the proposed solution must provide the standard communication interface. we require one temperature measurement input. the application requires digital,SEMANTIC_STANDARD_COMMUNICATION,NOVALUE,0.0,,,NOVALUE,0.0,,,TT1,0.96,". the proposed solution must provide the standard communication interface. we require one temperature measurement input. the application requires digital signal input capability. where available, we woul",EXPLICIT_TEMPERATURE,NOVALUE,0.0,,,MP1,0.8,"ication interface. we require one temperature measurement input. the application requires digital signal input capability. where available, we would like enhanced measurement capability for demanding application",SEMANTIC_MP,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,
RFQ731-000004,13,5,4,1,9,False,G,0.98,"ide a quotation based on the following technical and application requirements: we require gas metering application. if possible, please provide standard-temperature service. we would prefer st",EXPLICIT_GAS,VG,0.9,pability. we require an open-collector input capability. the customer would like enhanced verification capabilities for maintenance. please consider a customer-specific fluid definition as a p,EXPLICIT_VG,ST,0.99,"ng application. if possible, please provide standard-temperature service. we would prefer stainless-steel housing. we require the standard electrical supply option. we require one measurement channel. th",EXPLICIT_HOUSING,NOVALUE,0.0,,,1,0.99,fer stainless-steel housing. we require the standard electrical supply option. we require one measurement channel. the application requires operation in an area requiring explosion protection. the equipm,EXPLICIT_CHANNEL,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NN,0.96,ion requirements. the application requires the standard certification package. we require standard communication capability. we require an open-collector input capability. the customer would like enhanc,SEMANTIC_STANDARD_COMMUNICATION,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,
RFQ731-000005,14,6,5,1,9,False,NOVALUE,0.0,,,TE,0.96,"e current-output functionality. we require one current input. if possible, please provide temperature measurement capability. if possible, please provide a digital open-collector input. the proposed solu",EXPLICIT_TE,ST,0.99,"ipment is required to support standard process configuration. if possible, please provide stainless-steel housing. where available, we would like the standard electrical supply option. we require one mea",EXPLICIT_HOUSING,NOVALUE,0.0,,,1,0.99,"housing. where available, we would like the standard electrical supply option. we require one measurement channel. the equipment will be installed in an operating area where the applicable hazardous-area",EXPLICIT_CHANNEL,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NN,0.96,n must provide the standard certification package. the proposed solution must provide the standard communication interface. the application requires switchable current-output functionality. we require o,SEMANTIC_STANDARD_COMMUNICATION,CS1,0.9,"osed solution must provide the standard communication interface. the application requires switchable current-output functionality. we require one current input. if possible, please provide temperature meas",SEMANTIC_SWITCHABLE_CURRENT,NOVALUE,0.0,,,TT1,0.98,"e current-output functionality. we require one current input. if possible, please provide temperature measurement capability. if possible, please provide a digital open-collector input. the proposed solution must p",EXPLICIT_TEMPERATURE,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,
RFQ731-000006,14,5,5,0,9,False,G,0.98,ide a quotation based on the following technical and application requirements: we require gas measurement. the application requires general-purpose configuration. we require stainless-steel housi,EXPLICIT_GAS,GP,0.98,hnical and application requirements: we require gas measurement. the application requires general-purpose configuration. we require stainless-steel housing. the proposed solution must provide the standard elec,EXPLICIT_GP,ST,0.99,quire gas measurement. the application requires general-purpose configuration. we require stainless-steel housing. the proposed solution must provide the standard electrical supply option. the proposed s,EXPLICIT_HOUSING,NOVALUE,0.0,,,1,0.99,on must provide the standard electrical supply option. the proposed solution must provide one measurement channel. the equipment is required to support the required explosionapproval configuration. the p,EXPLICIT_CHANNEL,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NN,0.96,"solution must provide the standard certification package. if possible, please provide the standard communication interface. where available, we would like one current input. the proposed solution must p",SEMANTIC_STANDARD_COMMUNICATION,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,
RFQ731-000007,13,8,6,2,7,False,G,0.98,"requirements: we require flow measurement for liquid service. if possible, please provide general-purpose configuration. the installation environment requires a robust industrial enclosure. the proposed soluti",EXPLICIT_GENERAL_PURPOSE,GP,0.98,"requirements: we require flow measurement for liquid service. if possible, please provide general-purpose configuration. the installation environment requires a robust industrial enclosure. the proposed soluti",EXPLICIT_GP,NOVALUE,0.0,,,4,0.99,nvironment requires a robust industrial enclosure. the proposed solution must provide the alternative electrical supply option. the application requires a single measurement channel. we require the installatio,EXPLICIT_ALTERNATIVE_POWER,1,0.99,olution must provide the alternative electrical supply option. the application requires a single measurement channel. we require the installation does not require hazardous-area approval. the equipment is r,EXPLICIT_CHANNEL,N,0.99,"ption. the application requires a single measurement channel. we require the installation does not require hazardous-area approval. the equipment is required to support a non-hazardous installation area. if possible, ple",EXPLICIT_NON_HAZARDOUS,NOVALUE,0.0,,,NOVALUE,0.0,,,NN,0.96,"sible, please provide appropriate measurement certification. the application requires the standard communication interface. the application requires a digital open-collector input. the proposed solution",SEMANTIC_STANDARD_COMMUNICATION,NOVALUE,0.0,,,NOVALUE,0.0,,,TT1,0.98,"requires a digital open-collector input. the proposed solution must provide advanced low-temperature measurement capability. where available, we would like advanced meter verification. please consider custom fluid",EXPLICIT_TEMPERATURE,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,1,0.96,"t provide advanced low-temperature measurement capability. where available, we would like advanced meter verification. please consider custom fluid configuration as a preferred option. please include pricing",SEMANTIC_AMV,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,
RFQ731-000008,14,3,3,0,11,False,G,0.98,he following technical and application requirements: the equipment is required to support gas measurement. the proposed solution must provide standard temperature application. the installation en,EXPLICIT_GAS,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,HS,0.96,"he application requires standard certification documentation. if possible, please provide high-speed communication. the application requires switchable current-output functionality. if possible, please pr",SEMANTIC_HIGH_SPEED,CS1,0.9,"mentation. if possible, please provide high-speed communication. the application requires switchable current-output functionality. if possible, please provide a digital open-collector input. the proposed s",SEMANTIC_SWITCHABLE_CURRENT,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,
RFQ731-000009,15,7,6,1,9,False,G,0.98,he following technical and application requirements: the equipment is required to support gas measurement. the proposed solution must provide standard temperature application. please consider sta,EXPLICIT_GAS,TE,0.96,the proposed solution must provide a switchable current-output capability. we require one temperature measurement input. we would prefer a digital open-collector input. we would prefer advanced low-tempe,EXPLICIT_TE,ST,0.99,ent. the proposed solution must provide standard temperature application. please consider stainless-steel enclosure as a preferred option. the proposed solution must provide standard power supply. the appl,EXPLICIT_HOUSING,1,0.99,sider stainless-steel enclosure as a preferred option. the proposed solution must provide standard power supply. the application requires dual-channel measurement. the equipment is required to support,EXPLICIT_STANDARD_POWER,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,HS,0.96,we would prefer standard certification documentation. the proposed solution must provide high-speed communication. the proposed solution must provide a switchable current-output capability. we require on,SEMANTIC_HIGH_SPEED,CS1,0.9,osed solution must provide high-speed communication. the proposed solution must provide a switchable current-output capability. we require one temperature measurement input. we would prefer a digital open-,SEMANTIC_SWITCHABLE_CURRENT,NOVALUE,0.0,,,TT1,0.98,ement input. we would prefer a digital open-collector input. we would prefer advanced low-temperature measurement capability. we would prefer a customer-specific fluid definition. the proposed solution must provide,EXPLICIT_TEMPERATURE,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,
RFQ731-000010,13,7,5,2,8,False,G,0.98,"ide a quotation based on the following technical and application requirements: we require gas measurement. where available, we would like standard temperature application. please consider stainle",EXPLICIT_GAS,VG,0.9,uipment is required to support digital signal input capability. we require advanced meter verification. the equipment is required to support a customer-specific fluid definition. where availab,EXPLICIT_VG,ST,0.99,"urement. where available, we would like standard temperature application. please consider stainless-steel enclosure as a preferred option. the equipment is required to support the standard electrical suppl",EXPLICIT_HOUSING,NOVALUE,0.0,,,1,0.99,ired to support the standard electrical supply option. the proposed solution must provide one measurement channel. the equipment will be installed in an operating area where the applicable hazardous-area,EXPLICIT_CHANNEL,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NN,0.96,"solution must provide the standard certification package. where available, we would like standard communication capability. the equipment is required to support digital signal input capability. we requ",SEMANTIC_STANDARD_COMMUNICATION,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,,MP1,0.8,"le, we would like standard communication capability. the equipment is required to support digital signal input capability. we require advanced meter verification. the equipment is required to support a customer-",SEMANTIC_MP,NOVALUE,0.0,,,1,0.96,ability. the equipment is required to support digital signal input capability. we require advanced meter verification. the equipment is required to support a customer-specific fluid definition. where availab,SEMANTIC_AMV,NOVALUE,0.0,,,NOVALUE,0.0,,,NOVALUE,0.0,,
