rfq_id,characteristic,value_status,reason,confidence,source_sentence
RFQ731-000004,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: united process automation ag rfq reference: rfq731-000004 customer reference: new production line country: türkiye our team is planning an upgrade involving laboratory process system. we would like to receive a quotation for a suitable measurement solution. please provide a quotation based on the following technical and application requirements: we require gas metering application. if possible, please provide standard-temperature service. we would prefer stainless-stee"
RFQ731-000008,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: delta automation systems ltd. rfq reference: rfq731-000008 customer reference: plant modernisation project country: italy we are currently working on our plant modernisation project and are looking for a suitable measurement solution for production measurement. please provide a quotation based on the following technical and application requirements: the equipment is required to support gas measurement. the proposed solution must provide standard temperature application"
RFQ731-000009,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: nova process systems b.v. rfq reference: rfq731-000009 customer reference: new plant installation country: united arab emirates our team is planning an upgrade involving production process monitoring. we would like to receive a quotation for a suitable measurement solution. please provide a quotation based on the following technical and application requirements: the equipment is required to support gas measurement. the proposed solution must provide standard temperatur"
RFQ731-000010,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: global process automation ltd. rfq reference: rfq731-000010 customer reference: process automation project country: france as part of our process automation project, we require a suitable measurement system for utility water measurement. please provide a quotation based on the following technical and application requirements: we require gas measurement. where available, we would like standard temperature application. please consider stainless-steel enclosure as a prefe"
RFQ731-000011,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: continental engineering solutions b.v. rfq reference: rfq731-000011 customer reference: plant modernisation project country: spain our team is planning an upgrade involving plant utility measurement. we would like to receive a quotation for a suitable measurement solution. please provide a quotation based on the following technical and application requirements: the application requires gas measurement. the proposed solution must provide standard-temperature service. th"
RFQ731-000021,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: global process automation ag rfq reference: rfq731-000021 customer reference: measurement system upgrade country: germany as part of our measurement system upgrade, we require a suitable measurement system for utility water measurement. please provide a quotation based on the following technical and application requirements: the proposed solution must provide gas measurement. the equipment is required to support standard-temperature service. the equipment is required t"
RFQ731-000022,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: meridian automation systems s.a. rfq reference: rfq731-000022 customer reference: process instrumentation upgrade country: spain our team is planning an upgrade involving process monitoring. we would like to receive a quotation for a suitable measurement solution. please provide a quotation based on the following technical and application requirements: the equipment is required to support gas measurement. the application requires standard temperature application. we wo"
RFQ731-000024,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: quantum manufacturing technologies b.v. rfq reference: rfq731-000024 customer reference: measurement infrastructure upgrade country: india we are requesting a quotation for equipment suitable for wastewater processing as part of an upcoming measurement infrastructure upgrade. please provide a quotation based on the following technical and application requirements: the equipment is required to support gas measurement. the proposed solution must provide standard temperat"
RFQ731-000025,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: evergreen industrial services ag rfq reference: rfq731-000025 customer reference: process automation project country: türkiye our team is planning an upgrade involving wastewater processing. we would like to receive a quotation for a suitable measurement solution. please provide a quotation based on the following technical and application requirements: we require gas metering application. we require standard temperature application. the application requires stainless-s"
RFQ731-000028,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: nova measurement technologies gmbh rfq reference: rfq731-000028 customer reference: new plant installation country: germany as part of our new plant installation, we require a suitable measurement system for wastewater processing. please provide a quotation based on the following technical and application requirements: the equipment is required to support gas metering application. we require standard temperature application. the proposed solution must provide stainless"
RFQ731-000030,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: united petrochemical solutions fze rfq reference: rfq731-000030 customer reference: metering system replacement country: spain as part of our metering system replacement, we require a suitable measurement system for production line monitoring. please provide a quotation based on the following technical and application requirements: we require gas metering application. the application requires standard temperature application. the application requires stainless-steel ho"
RFQ731-000035,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: apex process engineering ltd. rfq reference: rfq731-000035 customer reference: measurement infrastructure upgrade country: germany we are currently working on our measurement infrastructure upgrade and are looking for a suitable measurement solution for pipeline monitoring. please provide a quotation based on the following technical and application requirements: we require gas metering application. we require standard-temperature service. the application requires stain"
RFQ731-000036,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: dynamic industrial technologies s.a. rfq reference: rfq731-000036 customer reference: measurement system upgrade country: saudi arabia as part of our measurement system upgrade, we require a suitable measurement system for energy infrastructure. please provide a quotation based on the following technical and application requirements: we require gas measurement. the application requires standard temperature application. the installation environment requires a robust ind"
RFQ731-000041,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: metrix process automation gmbh rfq reference: rfq731-000041 customer reference: new plant installation country: united kingdom as part of our new plant installation, we require a suitable measurement system for gas processing. please provide a quotation based on the following technical and application requirements: we require gas metering application. the application requires standard temperature application. if possible, please provide stainless-steel housing. the equ"
RFQ731-000048,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: vertex process engineering ag rfq reference: rfq731-000048 customer reference: measurement infrastructure upgrade country: netherlands we are requesting a quotation for equipment suitable for batch process monitoring as part of an upcoming measurement infrastructure upgrade. please provide a quotation based on the following technical and application requirements: the proposed solution must provide gas measurement. we require standard temperature application. we would p"
RFQ731-000056,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: orion process engineering ltd. rfq reference: rfq731-000056 customer reference: metering system replacement country: germany our team is planning an upgrade involving plant utility measurement. we would like to receive a quotation for a suitable measurement solution. please provide a quotation based on the following technical and application requirements: we require gas metering application. we require standard temperature application. the installation environment requ"
RFQ731-000074,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: meridian industrial technologies b.v. rfq reference: rfq731-000074 customer reference: utility measurement upgrade country: türkiye our team is planning an upgrade involving production utility monitoring. we would like to receive a quotation for a suitable measurement solution. please provide a quotation based on the following technical and application requirements: we require gas metering application. the application requires standard-temperature service. the equipmen"
RFQ731-000081,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: orion process engineering ltd. rfq reference: rfq731-000081 customer reference: process expansion project country: germany as part of our process expansion project, we require a suitable measurement system for process flow measurement. please provide a quotation based on the following technical and application requirements: the proposed solution must provide gas measurement. the application requires standard-temperature service. the equipment is required to support sta"
RFQ731-000088,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: precision automation systems fze rfq reference: rfq731-000088 customer reference: new production line country: united kingdom we are currently working on our new production line and are looking for a suitable measurement solution for test facility measurement. please provide a quotation based on the following technical and application requirements: the proposed solution must provide gas metering application. the equipment is required to support standard temperature app"
RFQ731-000091,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: summit automation systems fze rfq reference: rfq731-000091 customer reference: process automation project country: türkiye our team is planning an upgrade involving production utility monitoring. we would like to receive a quotation for a suitable measurement solution. please provide a quotation based on the following technical and application requirements: the equipment is required to support gas measurement. we require standard temperature application. the applicatio"
RFQ731-000096,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: sterling process engineering gmbh rfq reference: rfq731-000096 customer reference: metering system replacement country: netherlands as part of our metering system replacement, we require a suitable measurement system for process flow measurement. please provide a quotation based on the following technical and application requirements: the equipment is required to support gas measurement. the application requires standard temperature application. we require stainless-st"
RFQ731-000098,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: dynamic industrial services ltd. rfq reference: rfq731-000098 customer reference: metering system replacement country: germany we are requesting a quotation for equipment suitable for food production as part of an upcoming metering system replacement. please provide a quotation based on the following technical and application requirements: the application requires gas metering application. where available, we would like standard-temperature service. we would prefer sta"
RFQ731-000105,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: quantum manufacturing technologies fze rfq reference: rfq731-000105 customer reference: metering system replacement country: spain we are requesting a quotation for equipment suitable for process water measurement as part of an upcoming metering system replacement. please provide a quotation based on the following technical and application requirements: the proposed solution must provide gas measurement. the proposed solution must provide standard-temperature service. "
RFQ731-000117,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: delta engineering solutions fze rfq reference: rfq731-000117 customer reference: process automation project country: united arab emirates we are currently working on our process automation project and are looking for a suitable measurement solution for measurement system implementation. please provide a quotation based on the following technical and application requirements: the proposed solution must provide gas metering application. the proposed solution must provide"
RFQ731-000118,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: vector measurement technologies gmbh rfq reference: rfq731-000118 customer reference: process expansion project country: türkiye we are requesting a quotation for equipment suitable for hydrocarbon process measurement as part of an upcoming process expansion project. please provide a quotation based on the following technical and application requirements: the proposed solution must provide gas measurement. the proposed solution must provide standard-temperature service"
