rfq_id,document_type,document_language,subject,rfq_text,text_length,target_configuration_id,target_package,source_type,synthetic_version
RFQ731-000001,RFQ,DE,RFQ - Measurement System Upgrade,"Dear Sales Team,

Customer: Vertex Measurement Technologies AG
RFQ Reference: RFQ731-000001
Customer Reference: Measurement System Upgrade
Country: Germany

Please provide a suitable measurement system for utility water measurement.

We would like to request a quotation for the following measurement solution:

The application requires gas measurement.
The required device configuration is general-purpose configuration.
The unit should support alternative power supply.
We require number of measurement channels 1.
The measurement point requires explosion protection A.
The system should include protection area 2.
The required certification is MN.
The required communication interface is data interface NN.
The system should provide current input IS1.
Temperature measurement capability is required (TT1).
The system should include WaveInjector cryogenic option.
The system should include Advanced Meter Verification 1.
The system should include Dynamic Gas Master 1.
The system should include custom user fluid 1.
If possible, please include stainless-steel housing.
If possible, please include switchable current output CS1.
If possible, please include digital open-collector input MN1.

Please provide your best commercial offer including delivery lead time.

Please let us know if additional technical information is required.

Best regards,
Anna Schneider
Vertex Measurement Technologies AG",1398,CFG731_0db950a4979d2c52,x731,SYNTHETIC,731_RFQ_V1
RFQ731-000002,RFQ,FR,RFQ - Process Automation Project,"Dear Sir or Madam,

Customer: Nova Industrial Services S.A.
RFQ Reference: RFQ731-000002
Customer Reference: Process Automation Project
Country: France

We require an ultrasonic flow measurement solution for an industrial pharmaceutical process.

We would like to request a quotation for the following measurement solution:

The application requires flow measurement.
The required device configuration is temperature measurement application.
The preferred housing material is stainless-steel housing.
The unit should support standard power supply.
We require number of measurement channels 1.
The measurement point requires hazardous-area application.
The system should include protection area 2.
The required certification is NN.
The required communication interface is data interface PA.
If possible, please include temperature input TT2.
If possible, please include Advanced Meter Verification 1.

Please provide your best commercial offer including delivery lead time.

Please let us know if additional technical information is required.

Best regards,
Andreas Brown
Nova Industrial Services S.A.",1100,CFG731_56ccaebbaa08bd29,F731TE,SYNTHETIC,731_RFQ_V1
RFQ731-000003,RFQ,IT,RFQ - Process Automation Project,"Dear Sir or Madam,

Customer: Industrial Energy Systems Ltd.
RFQ Reference: RFQ731-000003
Customer Reference: Process Automation Project
Country: Italy

Please provide a suitable measurement system for batch process measurement.

We would like to request a quotation for the following measurement solution:

The application requires gas measurement.
The required device configuration is standard temperature application.
The preferred housing material is stainless-steel housing.
The unit should support standard power supply.
We require number of measurement channels 2.
The measurement point requires explosion protection K.
The system should include protection area 2.
The required communication interface is data interface NN.
The system should provide current input IS1.
Temperature measurement capability is required (TT1).
The system should include open-collector output MP1.
The system should include custom user fluid 1.
If possible, please include standard certification.
If possible, please include WaveInjector cryogenic option.
If possible, please include steam application H.

Please quote the complete configuration and advise the earliest possible delivery date.

Please contact us if any clarification is required.

Best regards,
David Bauer
Industrial Energy Systems Ltd.",1289,CFG731_c0eb036469c0bf44,G731ST-HT,SYNTHETIC,731_RFQ_V1
RFQ731-000004,RFQ,NL,RFQ - Plant Instrumentation,"Dear Sales Team,

Customer: Prime Process Engineering Ltd.
RFQ Reference: RFQ731-000004
Customer Reference: Plant Instrumentation
Country: Netherlands

We are looking for a flow measurement solution for our power & utilities application.

We would like to request a quotation for the following measurement solution:

The application requires gas measurement.
The required device configuration is standard temperature application.
The preferred housing material is stainless-steel housing.
The unit should support standard power supply.
We require number of measurement channels 1.
The measurement point requires explosion protection K.
The system should include protection area 2.
The required communication interface is data interface NN.
Temperature measurement capability is required (TT1).
The system should include Advanced Meter Verification 1.
The system should include custom user fluid 1.
If possible, please include standard certification.
If possible, please include digital open-collector input MN1.
If possible, please include steam application N.

Please provide your best commercial offer including delivery lead time.

Please contact us if any clarification is required.

Best regards,
Stefan Wilson
Prime Process Engineering Ltd.",1246,CFG731_e1516ef53069d5e2,G731ST-LT,SYNTHETIC,731_RFQ_V1
RFQ731-000005,RFQ,EN,RFQ - Process Measurement Upgrade,"Dear Sir or Madam,

Customer: Vector Engineering Solutions AG
RFQ Reference: RFQ731-000005
Customer Reference: Process Measurement Upgrade
Country: United Kingdom

Please provide a suitable measurement system for utility water measurement.

We would like to request a quotation for the following measurement solution:

The application requires flow measurement.
The required device configuration is general-purpose configuration.
The preferred housing material is stainless-steel housing.
The unit should support standard power supply.
We require number of measurement channels 1.
The measurement point requires explosion protection A.
The system should include protection area 2.
The required certification is NN.
The required communication interface is data interface NN.
The system should provide current input IS1.
Temperature measurement capability is required (TT1).
The system should include open-collector output MP1.
The system should include Advanced Meter Verification 1.
If possible, please include switchable current output CS1.
If possible, please include WaveInjector cryogenic option.
If possible, please include custom user fluid 1.

Please provide your quotation including pricing, expected delivery time and applicable commercial terms.

Please let us know if additional technical information is required.

Best regards,
Markus Brown
Vector Engineering Solutions AG",1384,CFG731_da02526d254e2e35,x731,SYNTHETIC,731_RFQ_V1
RFQ731-000006,RFQ,DE,RFQ - Plant Instrumentation,"Dear FLEXIM Sales Team,

Customer: United Instrumentation Ltd.
RFQ Reference: RFQ731-000006
Customer Reference: Plant Instrumentation
Country: Germany

Please provide a suitable measurement system for turnkey process project.

We would like to request a quotation for the following measurement solution:

The application requires flow measurement.
The required device configuration is general-purpose configuration.
The preferred housing material is stainless-steel housing.
The unit should support alternative power supply.
We require number of measurement channels 1.
The measurement point requires explosion protection A.
The system should include protection area 2.
The required certification is MN.
The required communication interface is high-speed communication.
The system should provide current input IS1.
Temperature measurement capability is required (TT1).
The system should include WaveInjector cryogenic option.
The system should include Advanced Meter Verification 1.
If possible, please include digital open-collector input MN1.

Please quote the complete configuration and advise the earliest possible delivery date.

Please let us know if additional technical information is required.

Best regards,
Daniel Keller
United Instrumentation Ltd.",1259,CFG731_089eb10797cdf87e,x731,SYNTHETIC,731_RFQ_V1
RFQ731-000007,RFQ,NL,RFQ - Process Measurement Upgrade,"Dear FLEXIM Sales Team,

Customer: Metrix Energy Systems AG
RFQ Reference: RFQ731-000007
Customer Reference: Process Measurement Upgrade
Country: Netherlands

We require an ultrasonic flow measurement solution for an industrial mining & metals process.

We would like to request a quotation for the following measurement solution:

The application requires gas measurement.
The required device configuration is standard temperature application.
The preferred housing material is stainless-steel housing.
The unit should support standard power supply.
We require number of measurement channels 1.
The measurement point requires explosion protection A.
The system should include protection area 2.
The required certification is NN.
The required communication interface is data interface NN.
The system should include digital open-collector input MN1.
The system should include custom user fluid 1.
The system should include steam application N.
If possible, please include switchable current output CS1.
If possible, please include Advanced Meter Verification 1.

Please quote the complete configuration and advise the earliest possible delivery date.

Please let us know if additional technical information is required.

Best regards,
Sarah Meyer
Metrix Energy Systems AG",1270,CFG731_2c30adc3f721a104,G731ST-LT,SYNTHETIC,731_RFQ_V1
RFQ731-000008,RFQ,FR,RFQ - Plant Instrumentation,"Dear FLEXIM Sales Team,

Customer: Atlas Process Engineering B.V.
RFQ Reference: RFQ731-000008
Customer Reference: Plant Instrumentation
Country: France

We require an ultrasonic flow measurement solution for an industrial chemical process.

We would like to request a quotation for the following measurement solution:

The application requires flow measurement.
The required device configuration is dual/single channel measurement configuration.
The preferred housing material is stainless-steel housing.
The unit should support standard power supply.
We require number of measurement channels 1.
The measurement point requires non-hazardous-area application.
The system should include protection area N.
The required communication interface is data interface PA.
The system should provide current input IS1.
If possible, please include standard certification.
If possible, please include Advanced Meter Verification 1.

Please quote the complete configuration and advise the earliest possible delivery date.

We look forward to receiving your quotation.

Best regards,
David Brown
Atlas Process Engineering B.V.",1113,CFG731_0be7d6198235486b,F731WD_SingleChannel,SYNTHETIC,731_RFQ_V1
RFQ731-000009,RFQ,ES,RFQ - Process Expansion Project,"Hello Sales Team,

Customer: Evergreen Energy Systems B.V.
RFQ Reference: RFQ731-000009
Customer Reference: Process Expansion Project
Country: Spain

We require an ultrasonic flow measurement solution for an industrial chemical process.

We would like to request a quotation for the following measurement solution:

The application requires gas measurement.
The required device configuration is specialized gas measurement.
The unit should support standard power supply.
We require number of measurement channels 2.
The measurement point requires hazardous-area application.
The system should include protection area 2.
The required certification is NN.
The required communication interface is high-speed communication.
A switchable current output CS2 is required.
The system should provide current input IS1.
Temperature measurement capability is required (TT1).
The system should include digital open-collector input MN2.
The system should include Advanced Meter Verification 1.
The system should include Dynamic Gas Master 1.
If possible, please include stainless-steel housing.

Please quote the complete configuration and advise the earliest possible delivery date.

We look forward to receiving your quotation.

Best regards,
Martin Hartmann
Evergreen Energy Systems B.V.",1277,CFG731_6a47b38d62a9fed3,G731VG,SYNTHETIC,731_RFQ_V1
RFQ731-000010,RFQ,EN,RFQ - Process Automation Project,"Hello Sales Team,

Customer: Meridian Engineering Solutions FZE
RFQ Reference: RFQ731-000010
Customer Reference: Process Automation Project
Country: United Arab Emirates

We are looking for a flow measurement solution for our water & wastewater application.

We would like to request a quotation for the following measurement solution:

The application requires flow measurement.
The required device configuration is general-purpose configuration.
The preferred housing material is stainless-steel housing.
The unit should support standard power supply.
We require number of measurement channels 1.
The measurement point requires non-hazardous-area application.
The required communication interface is data interface NN.
A switchable current output CS1 is required.
The system should include open-collector output MP1.
The system should include WaveInjector cryogenic option.
If possible, please include protection area N.
If possible, please include standard certification.
If possible, please include temperature input TT1.

Please quote the complete configuration and advise the earliest possible delivery date.

Please let us know if additional technical information is required.

Best regards,
Laura Schneider
Meridian Engineering Solutions FZE",1249,CFG731_7b9680fed3d10056,x731,SYNTHETIC,731_RFQ_V1
