rfq_id,target_package,record_type,evidence_level,ground_truth_configuration_id,source_canonical_configuration_id,mandatory_requirement_count,preferred_requirement_count,package_configuration_rows,package_unique_configuration_ids,mandatory_valid_configuration_count,mandatory_preferred_valid_configuration_count,alternative_count_bucket,ground_truth_mandatory_valid,ground_truth_mandatory_preferred_valid,top1_configuration_id,top1_rank,exact_ground_truth_rank,top1_exact_match,top1_mandatory_valid,top1_mandatory_preferred_valid,first_mandatory_equivalent_rank,first_mandatory_preferred_equivalent_rank,top1_difference_count,top1_differing_characteristics,failure_category
RFQ731-000001,x731,DERIVED,MODERATE,CFG731_bb4f0886ba308d63,CFG731_9a0f0b26c7f24725,10,4,2913,1549,21,7,11-50,True,True,CFG731_9a0f0b26c7f24725,1,6.0,False,True,True,1,1,2.0,dev_advMeterVerification|customUserFluid,REQUIREMENT_EQUIVALENT_EXTRA_DIFFERENCES
RFQ731-000002,x731,OBSERVED,OBSERVED,CFG731_83f956404d04e6cd,CFG731_83f956404d04e6cd,11,6,2913,1549,20,1,11-50,True,True,CFG731_83f956404d04e6cd,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000003,x731,DERIVED,LOW,CFG731_bd00839e452c6958,CFG731_b54844b4c5cc208b,9,4,2913,1549,22,7,11-50,True,True,CFG731_26a55fc6510692e1,1,5.0,False,True,True,1,1,1.0,customUserFluid,REQUIREMENT_EQUIVALENT_EXTRA_DIFFERENCES
RFQ731-000004,G731ST-LT,DERIVED,VERY_STRONG,CFG731_de503c5e46490150,CFG731_455da2f832a6b66d,10,3,595,153,8,8,6-10,True,True,CFG731_e03b41992c837b34,1,8.0,False,True,True,1,1,2.0,stromEingaenge|temperaturEingaenge,REQUIREMENT_EQUIVALENT_EXTRA_DIFFERENCES
RFQ731-000005,x731,OBSERVED,OBSERVED,CFG731_db395082b1a3b8ac,CFG731_db395082b1a3b8ac,10,4,2913,1549,4,1,2-5,True,True,CFG731_db395082b1a3b8ac,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000006,x731,DERIVED,VERY_STRONG,CFG731_541ce2492ce71d94,CFG731_98bdc6937e342d40,12,2,2913,1549,23,8,11-50,True,True,CFG731_3b2a32abbf148ca1,1,3.0,False,True,True,1,1,3.0,stromSchaltbar|temperaturEingaenge|dev_advMeterVerification,REQUIREMENT_EQUIVALENT_EXTRA_DIFFERENCES
RFQ731-000007,x731,DERIVED,VERY_STRONG,CFG731_134ecd7b8190bed1,CFG731_de67d4c164ed05bc,9,4,2913,1549,30,8,11-50,True,True,CFG731_a59cc7e57b856164,1,2.0,False,True,True,1,1,2.0,stromSchaltbar|stromEingaenge,REQUIREMENT_EQUIVALENT_EXTRA_DIFFERENCES
RFQ731-000008,G731ST-HT,DERIVED,VERY_STRONG,CFG731_b5710e5f11e2cbc2,CFG731_288e4c99b4e02895,10,4,595,151,14,4,11-50,True,True,CFG731_3f42c988dc83cb23,1,4.0,False,True,True,1,1,1.0,stromEingaenge,REQUIREMENT_EQUIVALENT_EXTRA_DIFFERENCES
RFQ731-000009,G731ST-HT,OBSERVED,OBSERVED,CFG731_646d8903da63e1f0,CFG731_646d8903da63e1f0,10,5,595,151,5,2,2-5,True,True,CFG731_646d8903da63e1f0,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000010,G731ST-LT,DERIVED,VERY_STRONG,CFG731_9e44a82e6c1db982,CFG731_098817d766a37bc2,8,5,595,153,47,8,11-50,True,True,CFG731_87d8ba5b87cf0a3f,1,5.0,False,True,True,1,1,2.0,stromEingaenge|temperaturEingaenge,REQUIREMENT_EQUIVALENT_EXTRA_DIFFERENCES
