rfq_id,canonical_configuration_id,ml_split,ml_target,record_type,generation_method,evidence_level,source_frequency,nearest_real_distance,num_changed_characteristics,evidence_score,mandatory_total,mandatory_satisfied,mandatory_violations,preferred_total,preferred_satisfied,preferred_differences,unmentioned_features,mandatory_valid,mandatory_preferred_valid,source_frequency_score,real_proximity_score,low_change_score,observed_configuration_score,evidence_score_normalized,rfq_ground_truth_record_type,rfq_ground_truth_evidence_level,rfq_ground_truth_nearest_real_distance,rfq_requirement_count,rfq_mandatory_requirement_count,rfq_preferred_requirement_count,rfq_unique_required_characteristics,config_devCategory,config_characteristic,config_housing,config_powerSupply,config_numberOfChannels,config_explosionApproval,config_protectionArea,config_certification,config_dataInterface,config_stromSchaltbar,config_stromEingaenge,config_temperaturEingaenge,config_binaerDigitalOpenColl_MN,config_binaerOpenColl_MP,config_waveInjector,config_dev_advMeterVerification,config_dynamicGasMaster,config_customUserFluid,config_steamApplication
RFQ731-000001,CFG731_9a0f0b26c7f24725,TRAIN,1,OBSERVED,REAL_OBSERVED,OBSERVED,2,0,0,100.0,10,10,0,4,4,0,5,True,True,0.2857142857142857,1.0,1.0,1.0,1.0,DERIVED,MODERATE,2,14,10,4,14,G,GP,ST,4,1,N,N,MN,HS,CS1,NOVALUE,TT1,MN1,NOVALUE,FWI,1,1,1,NOVALUE
RFQ731-000001,CFG731_83f956404d04e6cd,TRAIN,0,OBSERVED,REAL_OBSERVED,OBSERVED,2,0,0,100.0,10,10,0,4,4,0,5,True,True,0.2857142857142857,1.0,1.0,1.0,1.0,DERIVED,MODERATE,2,14,10,4,14,G,GP,ST,4,1,N,N,MN,HS,CS1,IS1,TT1,MN1,NOVALUE,FWI,1,1,1,NOVALUE
RFQ731-000001,CFG731_ec83ad3bde5df955,TRAIN,0,DERIVED,TWO_CHARACTERISTIC,MODERATE,0,1,2,68.8,10,10,0,4,4,0,5,True,True,0.0,0.5,0.0,0.0,0.426470588235294,DERIVED,MODERATE,2,14,10,4,14,G,GP,ST,4,1,N,N,MN,HS,CS1,IS1,TT1,MN1,NOVALUE,FWI,NOVALUE,1,1,NOVALUE
RFQ731-000001,CFG731_399690ce112d8d2a,TRAIN,0,DERIVED,TWO_CHARACTERISTIC,MODERATE,0,1,2,68.8,10,10,0,4,4,0,5,True,True,0.0,0.5,0.0,0.0,0.426470588235294,DERIVED,MODERATE,2,14,10,4,14,G,GP,ST,4,1,N,N,MN,HS,CS1,NOVALUE,TT1,MN1,NOVALUE,FWI,1,1,NOVALUE,NOVALUE
RFQ731-000001,CFG731_142da525ddb90041,TRAIN,0,DERIVED,TWO_CHARACTERISTIC,MODERATE,0,1,2,68.8,10,10,0,4,4,0,5,True,True,0.0,0.5,0.0,0.0,0.426470588235294,DERIVED,MODERATE,2,14,10,4,14,G,GP,ST,4,1,N,N,MN,HS,CS1,IS1,TT1,MN1,NOVALUE,FWI,1,1,NOVALUE,NOVALUE
RFQ731-000001,CFG731_813afad06fd4a0a8,TRAIN,0,DERIVED,TWO_CHARACTERISTIC,MODERATE,0,1,2,68.8,10,10,0,4,4,0,5,True,True,0.0,0.5,0.0,0.0,0.426470588235294,DERIVED,MODERATE,2,14,10,4,14,G,GP,ST,4,1,N,N,MN,HS,CS1,NOVALUE,TT1,MN1,NOVALUE,FWI,NOVALUE,1,1,NOVALUE
RFQ731-000001,CFG731_bb4f0886ba308d63,TRAIN,0,DERIVED,TWO_CHARACTERISTIC,MODERATE,0,2,2,55.0,10,10,0,4,4,0,5,True,True,0.0,0.0,0.0,0.0,0.1727941176470588,DERIVED,MODERATE,2,14,10,4,14,G,GP,ST,4,1,N,N,MN,HS,CS1,NOVALUE,TT1,MN1,NOVALUE,FWI,NOVALUE,1,NOVALUE,NOVALUE
RFQ731-000002,CFG731_83f956404d04e6cd,TRAIN,1,OBSERVED,REAL_OBSERVED,OBSERVED,2,0,0,100.0,11,11,0,6,6,0,2,True,True,0.2857142857142857,1.0,1.0,1.0,1.0,OBSERVED,OBSERVED,0,17,11,6,17,G,GP,ST,4,1,N,N,MN,HS,CS1,IS1,TT1,MN1,NOVALUE,FWI,1,1,1,NOVALUE
RFQ731-000003,CFG731_abcee67081353f16,TRAIN,1,OBSERVED,REAL_OBSERVED,OBSERVED,7,0,0,100.0,9,9,0,4,4,0,6,True,True,1.0,1.0,1.0,1.0,1.0,DERIVED,LOW,2,13,9,4,13,F,GP,ST,1,1,N,N,NN,NN,CS1,IS1,TT1,MN1,NOVALUE,FWI,1,NOVALUE,1,NOVALUE
RFQ731-000003,CFG731_b54844b4c5cc208b,TRAIN,0,OBSERVED,REAL_OBSERVED,OBSERVED,4,0,0,100.0,9,9,0,4,4,0,6,True,True,0.5714285714285714,1.0,1.0,1.0,1.0,DERIVED,LOW,2,13,9,4,13,F,GP,ST,1,1,N,N,NN,NN,CS1,NOVALUE,TT1,MN1,NOVALUE,FWI,1,NOVALUE,1,NOVALUE
RFQ731-000003,CFG731_26a55fc6510692e1,TRAIN,0,DERIVED,ONE_CHARACTERISTIC,VERY_STRONG,0,1,1,94.2,9,9,0,4,4,0,6,True,True,0.0,0.5,0.5,0.0,0.8933823529411765,DERIVED,LOW,2,13,9,4,13,F,GP,ST,1,1,N,N,NN,NN,NOVALUE,NOVALUE,TT1,MN1,NOVALUE,FWI,1,NOVALUE,1,NOVALUE
RFQ731-000003,CFG731_23d75dfa953165d2,TRAIN,0,DERIVED,ONE_CHARACTERISTIC,VERY_STRONG,0,1,1,94.0,9,9,0,4,4,0,6,True,True,0.0,0.5,0.5,0.0,0.8897058823529411,DERIVED,LOW,2,13,9,4,13,F,GP,ST,1,1,N,N,NN,NN,CS1,NOVALUE,TT1,MN1,NOVALUE,FWI,1,NOVALUE,NOVALUE,NOVALUE
RFQ731-000003,CFG731_3d5919a152529e0c,TRAIN,0,DERIVED,DEPENDENCY_TWO_CHARACTERISTIC,VERY_STRONG,0,1,2,98.2,9,9,0,4,4,0,6,True,True,0.0,0.5,0.0,0.0,0.9669117647058824,DERIVED,LOW,2,13,9,4,13,F,GP,ST,1,1,N,N,NN,NN,NOVALUE,IS1,TT1,MN1,NOVALUE,FWI,1,NOVALUE,1,NOVALUE
RFQ731-000003,CFG731_97fec9a076550ea5,TRAIN,0,DERIVED,TWO_CHARACTERISTIC,MODERATE,0,1,2,64.4,9,9,0,4,4,0,6,True,True,0.0,0.5,0.0,0.0,0.3455882352941177,DERIVED,LOW,2,13,9,4,13,F,GP,ST,1,1,N,N,NN,NN,CS1,IS1,TT1,MN1,NOVALUE,FWI,1,NOVALUE,NOVALUE,NOVALUE
RFQ731-000003,CFG731_bd00839e452c6958,TRAIN,0,DERIVED,TWO_CHARACTERISTIC,LOW,0,2,2,54.2,9,9,0,4,4,0,6,True,True,0.0,0.0,0.0,0.0,0.1580882352941176,DERIVED,LOW,2,13,9,4,13,F,GP,ST,1,1,N,N,NN,NN,NOVALUE,NOVALUE,TT1,MN1,NOVALUE,FWI,1,NOVALUE,NOVALUE,NOVALUE
RFQ731-000004,CFG731_996314000fcfec4b,TRAIN,1,OBSERVED,REAL_OBSERVED,OBSERVED,7,0,0,100.0,10,10,0,3,3,0,6,True,True,1.0,1.0,1.0,1.0,1.0,DERIVED,VERY_STRONG,1,13,10,3,13,G,ST,ST,1,1,A,2,NN,NN,CS1,IS1,TT1,NOVALUE,MP1,NOVALUE,1,NOVALUE,1,N
RFQ731-000004,CFG731_455da2f832a6b66d,TRAIN,0,OBSERVED,REAL_OBSERVED,OBSERVED,4,0,0,100.0,10,10,0,3,3,0,6,True,True,0.5714285714285714,1.0,1.0,1.0,1.0,DERIVED,VERY_STRONG,1,13,10,3,13,G,ST,ST,1,1,A,2,NN,NN,CS1,NOVALUE,TT1,NOVALUE,MP1,NOVALUE,1,NOVALUE,1,N
RFQ731-000004,CFG731_ae877a3b18b65d0a,TRAIN,0,OBSERVED,REAL_OBSERVED,OBSERVED,2,0,0,100.0,10,10,0,3,3,0,6,True,True,0.2857142857142857,1.0,1.0,1.0,1.0,DERIVED,VERY_STRONG,1,13,10,3,13,G,ST,ST,1,1,A,2,NN,NN,NOVALUE,IS1,NOVALUE,NOVALUE,MP1,NOVALUE,1,NOVALUE,1,N
RFQ731-000004,CFG731_98bb5036a27a91a8,TRAIN,0,OBSERVED,REAL_OBSERVED,OBSERVED,1,0,0,100.0,10,10,0,3,3,0,6,True,True,0.1428571428571428,1.0,1.0,1.0,1.0,DERIVED,VERY_STRONG,1,13,10,3,13,G,ST,ST,1,1,A,2,NN,NN,CS1,NOVALUE,NOVALUE,NOVALUE,MP1,NOVALUE,1,NOVALUE,1,N
RFQ731-000004,CFG731_4c72f78c1186e8f7,TRAIN,0,DERIVED,ONE_CHARACTERISTIC,VERY_STRONG,0,1,1,94.2,10,10,0,3,3,0,6,True,True,0.0,0.5,0.5,0.0,0.8933823529411765,DERIVED,VERY_STRONG,1,13,10,3,13,G,ST,ST,1,1,A,2,NN,NN,NOVALUE,NOVALUE,TT1,NOVALUE,MP1,NOVALUE,1,NOVALUE,1,N
RFQ731-000004,CFG731_e03b41992c837b34,TRAIN,0,DERIVED,DEPENDENCY_TWO_CHARACTERISTIC,VERY_STRONG,0,1,2,98.2,10,10,0,3,3,0,6,True,True,0.0,0.5,0.0,0.0,0.9669117647058824,DERIVED,VERY_STRONG,1,13,10,3,13,G,ST,ST,1,1,A,2,NN,NN,NOVALUE,IS1,TT1,NOVALUE,MP1,NOVALUE,1,NOVALUE,1,N
RFQ731-000004,CFG731_de503c5e46490150,TRAIN,0,DERIVED,DEPENDENCY_TWO_CHARACTERISTIC,VERY_STRONG,0,1,2,98.2,10,10,0,3,3,0,6,True,True,0.0,0.5,0.0,0.0,0.9669117647058824,DERIVED,VERY_STRONG,1,13,10,3,13,G,ST,ST,1,1,A,2,NN,NN,NOVALUE,NOVALUE,NOVALUE,NOVALUE,MP1,NOVALUE,1,NOVALUE,1,N
RFQ731-000004,CFG731_22da0d6030817265,TRAIN,0,DERIVED,DEPENDENCY_TWO_CHARACTERISTIC,VERY_STRONG,0,1,2,98.2,10,10,0,3,3,0,6,True,True,0.0,0.5,0.0,0.0,0.9669117647058824,DERIVED,VERY_STRONG,1,13,10,3,13,G,ST,ST,1,1,A,2,NN,NN,CS1,IS1,NOVALUE,NOVALUE,MP1,NOVALUE,1,NOVALUE,1,N
RFQ731-000005,CFG731_db395082b1a3b8ac,TRAIN,1,OBSERVED,REAL_OBSERVED,OBSERVED,7,0,0,100.0,10,10,0,4,4,0,5,True,True,1.0,1.0,1.0,1.0,1.0,OBSERVED,OBSERVED,0,14,10,4,14,S,GP,ST,1,1,F,2,NN,NN,CS1,IS1,TT1,MN1,NOVALUE,FWI,NOVALUE,NOVALUE,NOVALUE,NOVALUE
RFQ731-000006,CFG731_3b2a32abbf148ca1,TRAIN,1,OBSERVED,REAL_OBSERVED,OBSERVED,7,0,0,100.0,12,12,0,2,2,0,5,True,True,1.0,1.0,1.0,1.0,1.0,DERIVED,VERY_STRONG,1,14,12,2,14,G,GP,ST,1,1,K,2,NN,NN,CS1,IS1,TT1,NOVALUE,MP1,FWI,1,1,1,NOVALUE
RFQ731-000006,CFG731_98bdc6937e342d40,TRAIN,0,OBSERVED,REAL_OBSERVED,OBSERVED,2,0,0,100.0,12,12,0,2,2,0,5,True,True,0.2857142857142857,1.0,1.0,1.0,1.0,DERIVED,VERY_STRONG,1,14,12,2,14,G,GP,ST,1,1,K,2,NN,NN,NOVALUE,IS1,NOVALUE,NOVALUE,MP1,FWI,1,1,1,NOVALUE
RFQ731-000006,CFG731_541ce2492ce71d94,TRAIN,0,DERIVED,ONE_CHARACTERISTIC,VERY_STRONG,0,1,1,94.0,12,12,0,2,2,0,5,True,True,0.0,0.5,0.5,0.0,0.8897058823529411,DERIVED,VERY_STRONG,1,14,12,2,14,G,GP,ST,1,1,K,2,NN,NN,NOVALUE,IS1,NOVALUE,NOVALUE,MP1,FWI,NOVALUE,1,1,NOVALUE
RFQ731-000006,CFG731_3df9fddf845f3508,TRAIN,0,DERIVED,DEPENDENCY_TWO_CHARACTERISTIC,VERY_STRONG,0,1,2,98.2,12,12,0,2,2,0,5,True,True,0.0,0.5,0.0,0.0,0.9669117647058824,DERIVED,VERY_STRONG,1,14,12,2,14,G,GP,ST,1,1,K,2,NN,NN,CS1,IS1,NOVALUE,NOVALUE,MP1,FWI,1,1,1,NOVALUE
