characteristic,characteristic_phrase,confidence,internal_value,rfq_id,sentence_index,source_sentence,v4_decision,v4_threshold,v5_source,value_phrase
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-001604,7,The application requires installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-000123,9,The equipment is required to support installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-004172,8,The proposed solution must provide installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-004047,7,The equipment is required to support installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-004574,8,The equipment is required to support installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-001260,7,The application requires installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-001261,8,The equipment is required to support installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-000390,8,The application requires installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-001030,7,The proposed solution must provide installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-001607,8,The application requires installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-002929,8,The application requires installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-002930,8,The application requires installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-003374,8,We require installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-004082,7,The equipment is required to support installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-003749,7,The equipment is required to support installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-000524,7,The application requires installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-004279,7,The application requires installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-003586,7,The equipment is required to support installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-004338,8,We would prefer installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-000735,8,The proposed solution must provide installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-003584,8,The application requires installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-002926,7,The equipment is required to support installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-003363,8,The proposed solution must provide installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-001037,7,The proposed solution must provide installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-003366,8,The proposed solution must provide installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-001035,9,The equipment is required to support installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-004418,8,The application requires installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-000121,8,The equipment is required to support installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-003196,7,The equipment is required to support installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-003582,7,"Where available, we would like installation in a protected hazardous area.",ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-000743,8,The equipment is required to support installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-000522,8,We require installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-004277,7,We require installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-004416,8,"If possible, please provide installation in a protected hazardous area.",ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-003191,7,We require installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-001266,7,The proposed solution must provide installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-003187,7,The proposed solution must provide installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-003195,7,The equipment is required to support installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-000128,7,We require installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-004480,8,The proposed solution must provide installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-001028,7,The application requires installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-004241,8,We require installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-001031,7,The proposed solution must provide installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-000281,7,The application requires installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-000521,8,The application requires installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-001597,8,We require installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-001596,7,We require installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-004573,9,The proposed solution must provide installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-000741,7,"Where available, we would like installation in a protected hazardous area.",ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-001601,8,We require installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-001603,7,The application requires installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-004173,8,The proposed solution must provide installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-003370,8,The proposed solution must provide installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-004479,9,We require installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-000283,8,The application requires installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-000280,7,The application requires installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-003926,7,The proposed solution must provide installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-001263,8,We require installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-000287,7,The application requires installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-001244,8,We require installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-003596,7,The proposed solution must provide installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-002918,9,We require installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-004579,7,The application requires installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-001617,7,The application requires installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-001619,7,We require installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-004421,8,The proposed solution must provide installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-000385,8,The proposed solution must provide installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-001041,8,The proposed solution must provide installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-003360,8,We require installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-004422,7,We require installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-004056,9,We require installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
protectionArea,installation in a protected hazardous area,3.566666666666668,2,RFQ731-003850,8,We require installation in a protected hazardous area.,ACCEPT,1.3,V4_DECISION_LAYER,installation in a protected hazardous area
