rfq_id,customer_id,document_type,document_version,rfq_text,requirement_count
RFQ731-000001,CUST73100177,CUSTOMER_RFQ,V2,"Dear Sales Team,

Customer: Integrated Petrochemical Solutions S.A.
RFQ Reference: RFQ731-000001
Customer Reference: Process Expansion Project
Country: India

Our team is planning an upgrade involving measurement system implementation. We would like to receive a quotation for a suitable measurement solution.

Please provide a quotation based on the following technical and application requirements:

The equipment is required to support gas metering application.

The equipment is required to support general-purpose configuration.

The installation environment requires a robust industrial enclosure.

We require the alternative electrical supply option.

We require a single measurement channel.

We require the installation does not require hazardous-area approval.

Please consider standard installation conditions as a preferred option.

The equipment is required to support appropriate measurement certification.

The proposed solution must provide high-speed communication.

The equipment is required to support a switchable current-output capability.

We would prefer temperature measurement capability.

If possible, please provide digital signal input capability.

We would prefer advanced low-temperature measurement capability.

The proposed solution must provide enhanced gas measurement capability.

Please include pricing, expected delivery lead time, validity of the quotation, and any relevant technical documentation with your offer.

If any of the requirements require clarification, please indicate the assumptions made in your quotation.

Best regards,
Procurement Team
Integrated Petrochemical Solutions S.A.",14
RFQ731-000002,CUST73100174,CUSTOMER_RFQ,V2,"Dear Sales Team,

Customer: Nova Instrumentation AG
RFQ Reference: RFQ731-000002
Customer Reference: Utility Measurement Upgrade
Country: Germany

We are currently working on our utility measurement upgrade and are looking for a suitable measurement solution for process flow measurement.

Please provide a quotation based on the following technical and application requirements:

The proposed solution must provide gas measurement.

The equipment is required to support standard process configuration.

The installation environment requires a robust industrial enclosure.

The proposed solution must provide an alternative power supply.

We require one measurement channel.

The equipment will be installed in an operating area where the applicable hazardous-area requirements must be met.

We require standard installation conditions.

The proposed solution must provide the required measurement certification.

The proposed solution must provide high-speed communication.

Where available, we would like switchable current-output functionality.

The equipment is required to support a dedicated current-input channel.

The equipment is required to support temperature measurement capability.

Where available, we would like a digital open-collector input.

We would prefer enhanced measurement capability for demanding applications.

If possible, please provide advanced verification functionality.

We would prefer dynamic gas measurement functionality.

We would prefer a customer-specific fluid definition.

Please include pricing, expected delivery lead time, validity of the quotation, and any relevant technical documentation with your offer.

If any of the requirements require clarification, please indicate the assumptions made in your quotation.

Best regards,
Procurement Team
Nova Instrumentation AG",17
RFQ731-000003,CUST73100086,CUSTOMER_RFQ,V2,"Dear Sales Team,

Customer: Precision Process Systems GmbH
RFQ Reference: RFQ731-000003
Customer Reference: Measurement Infrastructure Upgrade
Country: Türkiye

As part of our measurement infrastructure upgrade, we require a suitable measurement system for production line monitoring.

Please provide a quotation based on the following technical and application requirements:

The equipment is required to support flow measurement for liquid service.

We require standard process configuration.

The installation environment requires a robust industrial enclosure.

We would prefer standard power supply.

The application requires a single measurement channel.

The equipment will be installed in an operating area where the applicable hazardous-area requirements must be met.

The proposed solution must provide standard installation conditions.

Where available, we would like standard certification documentation.

The proposed solution must provide the standard communication interface.

We require one temperature measurement input.

The application requires digital signal input capability.

Where available, we would like enhanced measurement capability for demanding applications.

The customer would like enhanced verification capabilities for maintenance.

Please include pricing, expected delivery lead time, validity of the quotation, and any relevant technical documentation with your offer.

If any of the requirements require clarification, please indicate the assumptions made in your quotation.

Best regards,
Procurement Team
Precision Process Systems GmbH",13
RFQ731-000004,CUST73100208,CUSTOMER_RFQ,V2,"Dear Sales Team,

Customer: United Process Automation AG
RFQ Reference: RFQ731-000004
Customer Reference: New Production Line
Country: Türkiye

Our team is planning an upgrade involving laboratory process system. We would like to receive a quotation for a suitable measurement solution.

Please provide a quotation based on the following technical and application requirements:

We require gas metering application.

If possible, please provide standard-temperature service.

We would prefer stainless-steel housing.

We require the standard electrical supply option.

We require one measurement channel.

The application requires operation in an area requiring explosion protection.

The equipment is required to support operation in a hazardous area with the applicable protection requirements.

The application requires the standard certification package.

We require standard communication capability.

We require an open-collector input capability.

The customer would like enhanced verification capabilities for maintenance.

Please consider a customer-specific fluid definition as a preferred option.

The proposed solution must provide the required steamApplication configuration.

Please include pricing, expected delivery lead time, validity of the quotation, and any relevant technical documentation with your offer.

If any of the requirements require clarification, please indicate the assumptions made in your quotation.

Best regards,
Procurement Team
United Process Automation AG",13
RFQ731-000005,CUST73100179,CUSTOMER_RFQ,V2,"Dear Sales Team,

Customer: Dynamic Industrial Technologies S.A.
RFQ Reference: RFQ731-000005
Customer Reference: Utility Measurement Upgrade
Country: Saudi Arabia

We are requesting a quotation for equipment suitable for utility measurement as part of an upcoming utility measurement upgrade.

Please provide a quotation based on the following technical and application requirements:

We require the required devCategory configuration.

The equipment is required to support standard process configuration.

If possible, please provide stainless-steel housing.

Where available, we would like the standard electrical supply option.

We require one measurement channel.

The equipment will be installed in an operating area where the applicable hazardous-area requirements must be met.

The proposed solution must provide operation in a hazardous area with the applicable protection requirements.

The proposed solution must provide the standard certification package.

The proposed solution must provide the standard communication interface.

The application requires switchable current-output functionality.

We require one current input.

If possible, please provide temperature measurement capability.

If possible, please provide a digital open-collector input.

The proposed solution must provide advanced low-temperature measurement capability.

Please include pricing, expected delivery lead time, validity of the quotation, and any relevant technical documentation with your offer.

If any of the requirements require clarification, please indicate the assumptions made in your quotation.

Best regards,
Procurement Team
Dynamic Industrial Technologies S.A.",14
RFQ731-000006,CUST73100039,CUSTOMER_RFQ,V2,"Dear Sales Team,

Customer: Meridian Instrumentation AG
RFQ Reference: RFQ731-000006
Customer Reference: Measurement System Upgrade
Country: Türkiye

We are currently working on our measurement system upgrade and are looking for a suitable measurement solution for water distribution.

Please provide a quotation based on the following technical and application requirements:

We require gas measurement.

The application requires general-purpose configuration.

We require stainless-steel housing.

The proposed solution must provide the standard electrical supply option.

The proposed solution must provide one measurement channel.

The equipment is required to support the required explosionApproval configuration.

The proposed solution must provide operation in a hazardous area with the applicable protection requirements.

The proposed solution must provide the standard certification package.

If possible, please provide the standard communication interface.

Where available, we would like one current input.

The proposed solution must provide an additional digital signal input.

The application requires enhanced measurement capability for demanding applications.

The proposed solution must provide dynamic gas measurement functionality.

The proposed solution must provide custom fluid configuration.

Please include pricing, expected delivery lead time, validity of the quotation, and any relevant technical documentation with your offer.

If any of the requirements require clarification, please indicate the assumptions made in your quotation.

Best regards,
Procurement Team
Meridian Instrumentation AG",14
RFQ731-000007,CUST73100090,CUSTOMER_RFQ,V2,"Dear Sales Team,

Customer: Dynamic Measurement Technologies B.V.
RFQ Reference: RFQ731-000007
Customer Reference: New Production Line
Country: United Arab Emirates

We are currently working on our new production line and are looking for a suitable measurement solution for mineral processing.

Please provide a quotation based on the following technical and application requirements:

We require flow measurement for liquid service.

If possible, please provide general-purpose configuration.

The installation environment requires a robust industrial enclosure.

The proposed solution must provide the alternative electrical supply option.

The application requires a single measurement channel.

We require the installation does not require hazardous-area approval.

The equipment is required to support a non-hazardous installation area.

If possible, please provide appropriate measurement certification.

The application requires the standard communication interface.

The application requires a digital open-collector input.

The proposed solution must provide advanced low-temperature measurement capability.

Where available, we would like advanced meter verification.

Please consider custom fluid configuration as a preferred option.

Please include pricing, expected delivery lead time, validity of the quotation, and any relevant technical documentation with your offer.

If any of the requirements require clarification, please indicate the assumptions made in your quotation.

Best regards,
Procurement Team
Dynamic Measurement Technologies B.V.",13
RFQ731-000008,CUST73100211,CUSTOMER_RFQ,V2,"Dear Sales Team,

Customer: Delta Automation Systems Ltd.
RFQ Reference: RFQ731-000008
Customer Reference: Plant Modernisation Project
Country: Italy

We are currently working on our plant modernisation project and are looking for a suitable measurement solution for production measurement.

Please provide a quotation based on the following technical and application requirements:

The equipment is required to support gas measurement.

The proposed solution must provide standard temperature application.

The installation environment requires a robust industrial enclosure.

The proposed solution must provide the standard electrical supply option.

The equipment is required to support two independent measurement channels.

The equipment will be installed in an operating area where the applicable hazardous-area requirements must be met.

The application requires operation in a hazardous area with the applicable protection requirements.

The application requires standard certification documentation.

If possible, please provide high-speed communication.

The application requires switchable current-output functionality.

If possible, please provide a digital open-collector input.

The proposed solution must provide enhanced measurement capability for demanding applications.

Where available, we would like custom fluid configuration.

The equipment is required to support the required steamApplication configuration.

Please include pricing, expected delivery lead time, validity of the quotation, and any relevant technical documentation with your offer.

If any of the requirements require clarification, please indicate the assumptions made in your quotation.

Best regards,
Procurement Team
Delta Automation Systems Ltd.",14
RFQ731-000009,CUST73100087,CUSTOMER_RFQ,V2,"Dear Sales Team,

Customer: Nova Process Systems B.V.
RFQ Reference: RFQ731-000009
Customer Reference: New Plant Installation
Country: United Arab Emirates

Our team is planning an upgrade involving production process monitoring. We would like to receive a quotation for a suitable measurement solution.

Please provide a quotation based on the following technical and application requirements:

The equipment is required to support gas measurement.

The proposed solution must provide standard temperature application.

Please consider stainless-steel enclosure as a preferred option.

The proposed solution must provide standard power supply.

The application requires dual-channel measurement.

The equipment is required to support the required explosionApproval configuration.

We require installation in a protected hazardous area.

We would prefer standard certification documentation.

The proposed solution must provide high-speed communication.

The proposed solution must provide a switchable current-output capability.

We require one temperature measurement input.

We would prefer a digital open-collector input.

We would prefer advanced low-temperature measurement capability.

We would prefer a customer-specific fluid definition.

The proposed solution must provide the required steamApplication configuration.

Please include pricing, expected delivery lead time, validity of the quotation, and any relevant technical documentation with your offer.

If any of the requirements require clarification, please indicate the assumptions made in your quotation.

Best regards,
Procurement Team
Nova Process Systems B.V.",15
RFQ731-000010,CUST73100108,CUSTOMER_RFQ,V2,"Dear Sales Team,

Customer: Global Process Automation Ltd.
RFQ Reference: RFQ731-000010
Customer Reference: Process Automation Project
Country: France

As part of our process automation project, we require a suitable measurement system for utility water measurement.

Please provide a quotation based on the following technical and application requirements:

We require gas measurement.

Where available, we would like standard temperature application.

Please consider stainless-steel enclosure as a preferred option.

The equipment is required to support the standard electrical supply option.

The proposed solution must provide one measurement channel.

The equipment will be installed in an operating area where the applicable hazardous-area requirements must be met.

The equipment is required to support operation in a hazardous area with the applicable protection requirements.

The proposed solution must provide the standard certification package.

Where available, we would like standard communication capability.

The equipment is required to support digital signal input capability.

We require advanced meter verification.

The equipment is required to support a customer-specific fluid definition.

Where available, we would like the required steamApplication configuration.

Please include pricing, expected delivery lead time, validity of the quotation, and any relevant technical documentation with your offer.

If any of the requirements require clarification, please indicate the assumptions made in your quotation.

Best regards,
Procurement Team
Global Process Automation Ltd.",13
RFQ731-000011,CUST73100210,CUSTOMER_RFQ,V2,"Dear Sales Team,

Customer: Continental Engineering Solutions B.V.
RFQ Reference: RFQ731-000011
Customer Reference: Plant Modernisation Project
Country: Spain

Our team is planning an upgrade involving plant utility measurement. We would like to receive a quotation for a suitable measurement solution.

Please provide a quotation based on the following technical and application requirements:

The application requires gas measurement.

The proposed solution must provide standard-temperature service.

The proposed solution must provide stainless-steel housing.

We require the standard electrical supply option.

We require dual-channel measurement.

The equipment will be installed in an operating area where the applicable hazardous-area requirements must be met.

The equipment is required to support operation in a hazardous area with the applicable protection requirements.

The proposed solution must provide standard certification documentation.

The equipment is required to support standard communication capability.

We require a dedicated current-input channel.

The application requires an additional digital signal input.

The proposed solution must provide enhanced measurement capability for demanding applications.

We would prefer custom fluid configuration.

The equipment is required to support the required steamApplication configuration.

Please include pricing, expected delivery lead time, validity of the quotation, and any relevant technical documentation with your offer.

If any of the requirements require clarification, please indicate the assumptions made in your quotation.

Best regards,
Procurement Team
Continental Engineering Solutions B.V.",14
RFQ731-000012,CUST73100231,CUSTOMER_RFQ,V2,"Dear Sales Team,

Customer: Advanced Industrial Technologies B.V.
RFQ Reference: RFQ731-000012
Customer Reference: Process Automation Project
Country: France

Our team is planning an upgrade involving clean utility measurement. We would like to receive a quotation for a suitable measurement solution.

Please provide a quotation based on the following technical and application requirements:

The application requires liquid flow measurement.

The application requires general-purpose configuration.

The installation environment requires a robust industrial enclosure.

The equipment is required to support the alternative electrical supply option.

The proposed solution must provide one measurement channel.

The proposed solution must provide hazardous-area operation.

We require installation in a protected hazardous area.

The application requires the standard certification package.

The proposed solution must provide high-speed communication.

We would prefer switchable current-output functionality.

The equipment is required to support a dedicated current-input channel.

We would prefer temperature measurement capability.

The equipment is required to support an open-collector input capability.

Where available, we would like advanced low-temperature measurement capability.

We would prefer advanced meter verification.

Where available, we would like custom fluid configuration.

Please include pricing, expected delivery lead time, validity of the quotation, and any relevant technical documentation with your offer.

If any of the requirements require clarification, please indicate the assumptions made in your quotation.

Best regards,
Procurement Team
Advanced Industrial Technologies B.V.",16
RFQ731-000013,CUST73100117,CUSTOMER_RFQ,V2,"Dear Sales Team,

Customer: Apex Process Automation FZE
RFQ Reference: RFQ731-000013
Customer Reference: Process Expansion Project
Country: France

We are requesting a quotation for equipment suitable for clean utility measurement as part of an upcoming process expansion project.

Please provide a quotation based on the following technical and application requirements:

The application requires gas measurement.

The equipment is required to support standard process configuration.

Where available, we would like stainless-steel enclosure.

If possible, please provide standard power supply.

The equipment is required to support a single measurement channel.

We require operation in an area requiring explosion protection.

We require installation in a protected hazardous area.

We require the standard certification package.

If possible, please provide enhanced communication capability.

The application requires one current input.

The equipment is required to support temperature measurement capability.

We require a digital open-collector input.

Where available, we would like advanced low-temperature measurement capability.

The proposed solution must provide dynamic gas measurement functionality.

If possible, please provide a customer-specific fluid definition.

Please include pricing, expected delivery lead time, validity of the quotation, and any relevant technical documentation with your offer.

If any of the requirements require clarification, please indicate the assumptions made in your quotation.

Best regards,
Procurement Team
Apex Process Automation FZE",15
RFQ731-000014,CUST73100029,CUSTOMER_RFQ,V2,"Dear Sales Team,

Customer: Evergreen Engineering Solutions FZE
RFQ Reference: RFQ731-000014
Customer Reference: Measurement Infrastructure Upgrade
Country: Germany

Our team is planning an upgrade involving wastewater processing. We would like to receive a quotation for a suitable measurement solution.

Please provide a quotation based on the following technical and application requirements:

The equipment is required to support gas measurement.

The proposed solution must provide standard process configuration.

We would prefer stainless-steel enclosure.

We require standard power supply.

Where available, we would like one measurement channel.

The equipment is required to support the required explosionApproval configuration.

The proposed solution must provide operation in a hazardous area with the applicable protection requirements.

The proposed solution must provide standard certification documentation.

Please consider the standard communication interface as a preferred option.

Where available, we would like temperature measurement capability.

We require digital signal input capability.

Where available, we would like enhanced measurement capability for demanding applications.

We require advanced verification functionality.

The application requires dynamic gas measurement functionality.

If possible, please provide custom fluid configuration.

Please include pricing, expected delivery lead time, validity of the quotation, and any relevant technical documentation with your offer.

If any of the requirements require clarification, please indicate the assumptions made in your quotation.

Best regards,
Procurement Team
Evergreen Engineering Solutions FZE",15
RFQ731-000015,CUST73100204,CUSTOMER_RFQ,V2,"Dear Sales Team,

Customer: Metrix Manufacturing Technologies B.V.
RFQ Reference: RFQ731-000015
Customer Reference: Utility Measurement Upgrade
Country: Germany

We are requesting a quotation for equipment suitable for clean utility measurement as part of an upcoming utility measurement upgrade.

Please provide a quotation based on the following technical and application requirements:

The application requires liquid flow measurement.

The equipment is required to support general-purpose configuration.

We require stainless-steel housing.

Where available, we would like the standard electrical supply option.

The proposed solution must provide a single measurement channel.

If possible, please provide the required explosionApproval configuration.

The equipment is required to support operation in a hazardous area with the applicable protection requirements.

The proposed solution must provide standard certification documentation.

Maintenance personnel would benefit from convenient commissioning and diagnostic access.

Please consider one current input as a preferred option.

We require one temperature measurement input.

If possible, please provide an open-collector input capability.

We require enhanced measurement capability for demanding applications.

We would prefer advanced verification functionality.

If possible, please provide custom fluid configuration.

Please include pricing, expected delivery lead time, validity of the quotation, and any relevant technical documentation with your offer.

If any of the requirements require clarification, please indicate the assumptions made in your quotation.

Best regards,
Procurement Team
Metrix Manufacturing Technologies B.V.",15
RFQ731-000016,CUST73100038,CUSTOMER_RFQ,V2,"Dear Sales Team,

Customer: Nexon Process Engineering GmbH
RFQ Reference: RFQ731-000016
Customer Reference: Process Instrumentation Upgrade
Country: Spain

Our team is planning an upgrade involving pipeline monitoring. We would like to receive a quotation for a suitable measurement solution.

Please provide a quotation based on the following technical and application requirements:

The application requires gas metering application.

The proposed solution must provide general-purpose configuration.

The application requires stainless-steel enclosure.

The application requires the standard electrical supply option.

We require a single measurement channel.

The equipment is required to support the installation does not require hazardous-area approval.

The proposed solution must provide standard installation conditions.

We require standard certification documentation.

The equipment is required to support standard communication capability.

If possible, please provide a dedicated current-input channel.

Where available, we would like an open-collector input capability.

If possible, please provide advanced low-temperature measurement capability.

We would prefer dynamic gas measurement functionality.

We require custom fluid configuration.

Please include pricing, expected delivery lead time, validity of the quotation, and any relevant technical documentation with your offer.

If any of the requirements require clarification, please indicate the assumptions made in your quotation.

Best regards,
Procurement Team
Nexon Process Engineering GmbH",14
RFQ731-000017,CUST73100094,CUSTOMER_RFQ,V2,"Dear Sales Team,

Customer: Quantum Petrochemical Solutions B.V.
RFQ Reference: RFQ731-000017
Customer Reference: Process Instrumentation Upgrade
Country: Netherlands

We are currently working on our process instrumentation upgrade and are looking for a suitable measurement solution for power plant process monitoring.

Please provide a quotation based on the following technical and application requirements:

We require flow measurement for liquid service.

The proposed solution must provide water-duty measurement.

We would prefer stainless-steel housing.

The equipment is required to support standard power supply.

We require two independent measurement channels.

The proposed solution must provide the installation does not require hazardous-area approval.

We require a non-hazardous installation area.

The proposed solution must provide standard certification documentation.

The application requires enhanced communication capability.

The application requires an enhanced switchable current-output capability.

The proposed solution must provide the required binaerOpenColl_MP configuration.

If possible, please provide advanced verification functionality.

Please include pricing, expected delivery lead time, validity of the quotation, and any relevant technical documentation with your offer.

If any of the requirements require clarification, please indicate the assumptions made in your quotation.

Best regards,
Procurement Team
Quantum Petrochemical Solutions B.V.",12
RFQ731-000018,CUST73100230,CUSTOMER_RFQ,V2,"Dear Sales Team,

Customer: Continental Process Automation GmbH
RFQ Reference: RFQ731-000018
Customer Reference: New Production Line
Country: Germany

We are requesting a quotation for equipment suitable for utility water measurement as part of an upcoming new production line.

Please provide a quotation based on the following technical and application requirements:

The proposed solution must provide liquid flow measurement.

The equipment is required to support temperature-focused measurement service.

We would prefer stainless-steel enclosure.

The application requires standard power supply.

Where available, we would like two independent measurement channels.

We require the required explosionApproval configuration.

The application requires operation in a hazardous area with the applicable protection requirements.

The proposed solution must provide standard certification documentation.

We require the required dataInterface configuration.

We require multiple temperature measurement inputs.

The proposed solution must provide advanced meter verification.

Please include pricing, expected delivery lead time, validity of the quotation, and any relevant technical documentation with your offer.

If any of the requirements require clarification, please indicate the assumptions made in your quotation.

Best regards,
Procurement Team
Continental Process Automation GmbH",11
RFQ731-000019,CUST73100127,CUSTOMER_RFQ,V2,"Dear Sales Team,

Customer: Delta Industrial Services GmbH
RFQ Reference: RFQ731-000019
Customer Reference: New Plant Installation
Country: United Arab Emirates

We are requesting a quotation for equipment suitable for energy infrastructure as part of an upcoming new plant installation.

Please provide a quotation based on the following technical and application requirements:

We require flow measurement for liquid service.

The application requires general-purpose configuration.

The equipment is required to support stainless-steel housing.

The proposed solution must provide an alternative power supply.

The equipment is required to support a single measurement channel.

We require standard non-hazardous-area installation.

The proposed solution must provide a non-hazardous installation area.

The application requires appropriate measurement certification.

We require enhanced communication capability.

If possible, please provide switchable current-output functionality.

The equipment is required to support one temperature measurement input.

We require advanced low-temperature measurement capability.

Where available, we would like custom fluid configuration.

Please include pricing, expected delivery lead time, validity of the quotation, and any relevant technical documentation with your offer.

If any of the requirements require clarification, please indicate the assumptions made in your quotation.

Best regards,
Procurement Team
Delta Industrial Services GmbH",13
