rfq_id,error_type,characteristic,predicted_value,actual_value,evidence_text,confidence
RFQ731-000001,FALSE_POSITIVE,binaerOpenColl_MP,MP1,NOVALUE,"pability. we would prefer temperature measurement capability. if possible, please provide digital signal input capability. we would prefer advanced low-temperature measurement capability. the proposed solution m",0.8
RFQ731-000001,FALSE_NEGATIVE,housing,NOVALUE,ST,,0.0
RFQ731-000001,FALSE_NEGATIVE,protectionArea,NOVALUE,N,,0.0
RFQ731-000001,FALSE_NEGATIVE,certification,NOVALUE,MN,,0.0
RFQ731-000001,FALSE_NEGATIVE,binaerDigitalOpenColl_MN,NOVALUE,MN1,,0.0
RFQ731-000001,FALSE_NEGATIVE,waveInjector,NOVALUE,FWI,,0.0
RFQ731-000002,WRONG_VALUE,characteristic,TE,GP,"quired to support a dedicated current-input channel. the equipment is required to support temperature measurement capability. where available, we would like a digital open-collector input. we would prefe",0.96
RFQ731-000002,FALSE_NEGATIVE,housing,NOVALUE,ST,,0.0
RFQ731-000002,FALSE_NEGATIVE,explosionApproval,NOVALUE,N,,0.0
RFQ731-000002,FALSE_NEGATIVE,protectionArea,NOVALUE,N,,0.0
RFQ731-000002,FALSE_NEGATIVE,certification,NOVALUE,MN,,0.0
RFQ731-000002,FALSE_NEGATIVE,stromEingaenge,NOVALUE,IS1,,0.0
RFQ731-000002,FALSE_NEGATIVE,binaerDigitalOpenColl_MN,NOVALUE,MN1,,0.0
RFQ731-000002,FALSE_NEGATIVE,waveInjector,NOVALUE,FWI,,0.0
RFQ731-000002,FALSE_NEGATIVE,dev_advMeterVerification,NOVALUE,1,,0.0
RFQ731-000002,FALSE_NEGATIVE,dynamicGasMaster,NOVALUE,1,,0.0
RFQ731-000002,FALSE_NEGATIVE,customUserFluid,NOVALUE,1,,0.0
RFQ731-000003,WRONG_VALUE,characteristic,TE,GP,". the proposed solution must provide the standard communication interface. we require one temperature measurement input. the application requires digital signal input capability. where available, we woul",0.96
RFQ731-000003,FALSE_POSITIVE,binaerOpenColl_MP,MP1,NOVALUE,"ication interface. we require one temperature measurement input. the application requires digital signal input capability. where available, we would like enhanced measurement capability for demanding application",0.8
RFQ731-000003,FALSE_NEGATIVE,housing,NOVALUE,ST,,0.0
RFQ731-000003,FALSE_NEGATIVE,explosionApproval,NOVALUE,N,,0.0
RFQ731-000003,FALSE_NEGATIVE,protectionArea,NOVALUE,N,,0.0
RFQ731-000003,FALSE_NEGATIVE,certification,NOVALUE,NN,,0.0
RFQ731-000003,FALSE_NEGATIVE,binaerDigitalOpenColl_MN,NOVALUE,MN1,,0.0
RFQ731-000003,FALSE_NEGATIVE,waveInjector,NOVALUE,FWI,,0.0
RFQ731-000003,FALSE_NEGATIVE,dev_advMeterVerification,NOVALUE,1,,0.0
RFQ731-000004,WRONG_VALUE,characteristic,VG,ST,pability. we require an open-collector input capability. the customer would like enhanced verification capabilities for maintenance. please consider a customer-specific fluid definition as a p,0.9
RFQ731-000004,FALSE_NEGATIVE,powerSupply,NOVALUE,1,,0.0
RFQ731-000004,FALSE_NEGATIVE,explosionApproval,NOVALUE,A,,0.0
RFQ731-000004,FALSE_NEGATIVE,protectionArea,NOVALUE,2,,0.0
RFQ731-000004,FALSE_NEGATIVE,certification,NOVALUE,NN,,0.0
RFQ731-000004,FALSE_NEGATIVE,binaerOpenColl_MP,NOVALUE,MP1,,0.0
RFQ731-000004,FALSE_NEGATIVE,dev_advMeterVerification,NOVALUE,1,,0.0
RFQ731-000004,FALSE_NEGATIVE,customUserFluid,NOVALUE,1,,0.0
RFQ731-000004,FALSE_NEGATIVE,steamApplication,NOVALUE,N,,0.0
RFQ731-000005,WRONG_VALUE,characteristic,TE,GP,"e current-output functionality. we require one current input. if possible, please provide temperature measurement capability. if possible, please provide a digital open-collector input. the proposed solu",0.96
RFQ731-000005,FALSE_NEGATIVE,devCategory,NOVALUE,S,,0.0
RFQ731-000005,FALSE_NEGATIVE,powerSupply,NOVALUE,1,,0.0
RFQ731-000005,FALSE_NEGATIVE,explosionApproval,NOVALUE,F,,0.0
RFQ731-000005,FALSE_NEGATIVE,protectionArea,NOVALUE,2,,0.0
RFQ731-000005,FALSE_NEGATIVE,certification,NOVALUE,NN,,0.0
RFQ731-000005,FALSE_NEGATIVE,stromEingaenge,NOVALUE,IS1,,0.0
RFQ731-000005,FALSE_NEGATIVE,binaerDigitalOpenColl_MN,NOVALUE,MN1,,0.0
RFQ731-000005,FALSE_NEGATIVE,waveInjector,NOVALUE,FWI,,0.0
RFQ731-000006,FALSE_NEGATIVE,powerSupply,NOVALUE,1,,0.0
RFQ731-000006,FALSE_NEGATIVE,explosionApproval,NOVALUE,K,,0.0
RFQ731-000006,FALSE_NEGATIVE,protectionArea,NOVALUE,2,,0.0
RFQ731-000006,FALSE_NEGATIVE,certification,NOVALUE,NN,,0.0
RFQ731-000006,FALSE_NEGATIVE,stromEingaenge,NOVALUE,IS1,,0.0
RFQ731-000006,FALSE_NEGATIVE,binaerOpenColl_MP,NOVALUE,MP1,,0.0
RFQ731-000006,FALSE_NEGATIVE,waveInjector,NOVALUE,FWI,,0.0
RFQ731-000006,FALSE_NEGATIVE,dynamicGasMaster,NOVALUE,1,,0.0
RFQ731-000006,FALSE_NEGATIVE,customUserFluid,NOVALUE,1,,0.0
RFQ731-000007,WRONG_VALUE,devCategory,G,F,"requirements: we require flow measurement for liquid service. if possible, please provide general-purpose configuration. the installation environment requires a robust industrial enclosure. the proposed soluti",0.98
RFQ731-000007,FALSE_POSITIVE,temperaturEingaenge,TT1,NOVALUE,"requires a digital open-collector input. the proposed solution must provide advanced low-temperature measurement capability. where available, we would like advanced meter verification. please consider custom fluid",0.98
RFQ731-000007,FALSE_NEGATIVE,housing,NOVALUE,ST,,0.0
RFQ731-000007,FALSE_NEGATIVE,protectionArea,NOVALUE,N,,0.0
RFQ731-000007,FALSE_NEGATIVE,certification,NOVALUE,MN,,0.0
RFQ731-000007,FALSE_NEGATIVE,binaerDigitalOpenColl_MN,NOVALUE,MN1,,0.0
RFQ731-000007,FALSE_NEGATIVE,waveInjector,NOVALUE,FWI,,0.0
RFQ731-000007,FALSE_NEGATIVE,customUserFluid,NOVALUE,1,,0.0
RFQ731-000008,FALSE_NEGATIVE,characteristic,NOVALUE,ST,,0.0
RFQ731-000008,FALSE_NEGATIVE,housing,NOVALUE,ST,,0.0
RFQ731-000008,FALSE_NEGATIVE,powerSupply,NOVALUE,1,,0.0
RFQ731-000008,FALSE_NEGATIVE,numberOfChannels,NOVALUE,2,,0.0
RFQ731-000008,FALSE_NEGATIVE,explosionApproval,NOVALUE,F,,0.0
RFQ731-000008,FALSE_NEGATIVE,protectionArea,NOVALUE,2,,0.0
RFQ731-000008,FALSE_NEGATIVE,certification,NOVALUE,NN,,0.0
RFQ731-000008,FALSE_NEGATIVE,binaerDigitalOpenColl_MN,NOVALUE,MN1,,0.0
RFQ731-000008,FALSE_NEGATIVE,waveInjector,NOVALUE,FWI,,0.0
RFQ731-000008,FALSE_NEGATIVE,customUserFluid,NOVALUE,1,,0.0
RFQ731-000008,FALSE_NEGATIVE,steamApplication,NOVALUE,H,,0.0
RFQ731-000009,WRONG_VALUE,characteristic,TE,ST,the proposed solution must provide a switchable current-output capability. we require one temperature measurement input. we would prefer a digital open-collector input. we would prefer advanced low-tempe,0.96
RFQ731-000009,FALSE_NEGATIVE,numberOfChannels,NOVALUE,2,,0.0
RFQ731-000009,FALSE_NEGATIVE,explosionApproval,NOVALUE,K,,0.0
RFQ731-000009,FALSE_NEGATIVE,protectionArea,NOVALUE,2,,0.0
RFQ731-000009,FALSE_NEGATIVE,certification,NOVALUE,NN,,0.0
RFQ731-000009,FALSE_NEGATIVE,binaerDigitalOpenColl_MN,NOVALUE,MN1,,0.0
RFQ731-000009,FALSE_NEGATIVE,waveInjector,NOVALUE,FWI,,0.0
RFQ731-000009,FALSE_NEGATIVE,customUserFluid,NOVALUE,1,,0.0
RFQ731-000009,FALSE_NEGATIVE,steamApplication,NOVALUE,H,,0.0
RFQ731-000010,WRONG_VALUE,characteristic,VG,ST,uipment is required to support digital signal input capability. we require advanced meter verification. the equipment is required to support a customer-specific fluid definition. where availab,0.9
RFQ731-000010,FALSE_POSITIVE,binaerOpenColl_MP,MP1,NOVALUE,"le, we would like standard communication capability. the equipment is required to support digital signal input capability. we require advanced meter verification. the equipment is required to support a customer-",0.8
RFQ731-000010,FALSE_NEGATIVE,powerSupply,NOVALUE,1,,0.0
RFQ731-000010,FALSE_NEGATIVE,explosionApproval,NOVALUE,K,,0.0
RFQ731-000010,FALSE_NEGATIVE,protectionArea,NOVALUE,2,,0.0
RFQ731-000010,FALSE_NEGATIVE,certification,NOVALUE,NN,,0.0
RFQ731-000010,FALSE_NEGATIVE,binaerDigitalOpenColl_MN,NOVALUE,MN1,,0.0
RFQ731-000010,FALSE_NEGATIVE,customUserFluid,NOVALUE,1,,0.0
RFQ731-000010,FALSE_NEGATIVE,steamApplication,NOVALUE,N,,0.0
RFQ731-000011,FALSE_NEGATIVE,characteristic,NOVALUE,ST,,0.0
RFQ731-000011,FALSE_NEGATIVE,powerSupply,NOVALUE,1,,0.0
RFQ731-000011,FALSE_NEGATIVE,numberOfChannels,NOVALUE,2,,0.0
RFQ731-000011,FALSE_NEGATIVE,explosionApproval,NOVALUE,A,,0.0
RFQ731-000011,FALSE_NEGATIVE,protectionArea,NOVALUE,2,,0.0
RFQ731-000011,FALSE_NEGATIVE,certification,NOVALUE,NN,,0.0
RFQ731-000011,FALSE_NEGATIVE,stromEingaenge,NOVALUE,IS1,,0.0
RFQ731-000011,FALSE_NEGATIVE,binaerOpenColl_MP,NOVALUE,MP1,,0.0
RFQ731-000011,FALSE_NEGATIVE,waveInjector,NOVALUE,FWI,,0.0
RFQ731-000011,FALSE_NEGATIVE,customUserFluid,NOVALUE,1,,0.0
RFQ731-000011,FALSE_NEGATIVE,steamApplication,NOVALUE,H,,0.0
RFQ731-000012,WRONG_VALUE,devCategory,G,F,requirements: the application requires liquid flow measurement. the application requires general-purpose configuration. the installation environment requires a robust industrial enclosure. the equipment is re,0.98
RFQ731-000012,FALSE_NEGATIVE,housing,NOVALUE,ST,,0.0
RFQ731-000012,FALSE_NEGATIVE,explosionApproval,NOVALUE,A,,0.0
RFQ731-000012,FALSE_NEGATIVE,protectionArea,NOVALUE,2,,0.0
RFQ731-000012,FALSE_NEGATIVE,certification,NOVALUE,NN,,0.0
RFQ731-000012,FALSE_NEGATIVE,stromEingaenge,NOVALUE,IS1,,0.0
RFQ731-000012,FALSE_NEGATIVE,binaerOpenColl_MP,NOVALUE,MP1,,0.0
RFQ731-000012,FALSE_NEGATIVE,waveInjector,NOVALUE,FWI,,0.0
RFQ731-000012,FALSE_NEGATIVE,customUserFluid,NOVALUE,1,,0.0
RFQ731-000013,WRONG_VALUE,characteristic,TE,GP,"ability. the application requires one current input. the equipment is required to support temperature measurement capability. we require a digital open-collector input. where available, we would like adv",0.96
RFQ731-000013,FALSE_NEGATIVE,explosionApproval,NOVALUE,A,,0.0
RFQ731-000013,FALSE_NEGATIVE,protectionArea,NOVALUE,2,,0.0
RFQ731-000013,FALSE_NEGATIVE,certification,NOVALUE,NN,,0.0
RFQ731-000013,FALSE_NEGATIVE,dataInterface,NOVALUE,HS,,0.0
RFQ731-000013,FALSE_NEGATIVE,stromEingaenge,NOVALUE,IS1,,0.0
RFQ731-000013,FALSE_NEGATIVE,binaerDigitalOpenColl_MN,NOVALUE,MN1,,0.0
RFQ731-000013,FALSE_NEGATIVE,waveInjector,NOVALUE,FWI,,0.0
